CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,40,37,34,39,35,29,100,82,64,30.38,30.25,30.15,10,3,1,9,5,13,0.63,8,Rain-Thunderstorm,359
2015-1-2,43,41,38,41,39,37,100,95,89,30.19,30.08,29.96,10,4,2,12,5,18,0.20,8,Rain-Thunderstorm,341
2015-1-3,62,51,39,43,40,38,100,74,48,30.13,29.99,29.92,10,8,2,14,3,24,0.76,5,Rain-Thunderstorm,314
2015-1-4,51,43,35,41,30,22,100,69,38,30.69,30.48,30.16,10,10,10,16,7,26,0.00,0,,350
2015-1-5,52,41,29,28,23,20,75,54,32,30.73,30.60,30.45,10,10,10,8,4,12,0.00,0,,148
2015-1-6,71,54,36,37,32,28,76,50,23,30.46,30.38,30.30,10,10,10,9,2,13,0.00,0,,182
2015-1-7,51,41,30,38,27,8,76,54,32,30.80,30.58,30.34,10,10,10,21,9,32,0.00,2,,4
2015-1-8,36,30,23,23,12,5,56,48,39,30.79,30.54,30.30,10,10,10,15,5,23,T,3,Rain,350
2015-1-9,38,36,34,32,26,21,70,62,54,30.58,30.48,30.31,10,10,4,13,6,21,0.02,8,Rain,18
2015-1-10,36,34,32,34,31,19,100,76,52,30.56,30.42,30.31,10,4,2,8,3,13,0.30,8,Rain-Thunderstorm,21
2015-1-11,49,42,34,45,39,33,100,90,80,30.30,30.21,30.10,10,7,2,8,3,13,0.17,8,Rain,84
2015-1-12,46,43,40,45,41,36,100,88,76,30.44,30.28,30.15,10,5,0,14,5,20,0.00,8,Fog,1
2015-1-13,42,39,35,37,33,31,92,83,73,30.52,30.43,30.38,10,7,4,12,7,21,0.00,8,,354
2015-1-14,40,39,38,38,36,34,92,86,79,30.41,30.33,30.26,8,4,2,9,5,15,0.00,8,,2
2015-1-15,59,49,38,38,36,34,92,68,43,30.40,30.33,30.29,10,9,6,12,4,19,0.00,3,,343
2015-1-16,64,51,38,41,38,35,92,64,36,30.40,30.29,30.18,10,10,10,8,3,12,0.00,1,,268
2015-1-17,69,54,39,46,40,33,92,63,34,30.26,30.13,30.03,10,10,6,12,3,20,0.00,0,,309
2015-1-18,72,59,46,34,30,26,53,37,20,30.38,30.28,30.20,10,10,10,10,3,15,0.00,0,,294
2015-1-19,75,56,37,47,41,29,85,59,33,30.18,30.04,29.94,10,10,10,10,3,19,0.00,0,,193
2015-1-20,80,61,41,51,44,39,89,59,28,30.04,29.94,29.85,10,10,7,12,3,19,0.00,0,,79
2015-1-21,56,53,50,53,50,42,96,84,71,30.15,30.07,30.03,10,5,1,10,6,17,0.16,7,Rain,23
2015-1-22,52,47,41,51,46,38,100,91,82,30.27,30.07,29.98,10,4,1,20,10,32,2.07,8,Rain,16
2015-1-23,51,45,38,42,38,35,93,77,61,30.32,30.26,30.20,10,8,3,15,6,23,0.40,6,Rain,335
2015-1-24,63,50,36,41,36,31,92,62,32,30.28,30.20,30.09,10,10,10,13,4,21,0.00,0,,301
2015-1-25,73,57,40,40,34,29,85,53,20,30.20,30.11,30.02,10,10,10,13,6,20,0.00,0,,321
2015-1-26,74,60,46,43,37,32,61,43,25,30.29,30.21,30.15,10,10,10,10,5,17,0.00,0,,303
2015-1-27,83,67,51,45,40,36,71,47,23,30.21,30.15,30.10,10,10,10,14,6,24,0.00,0,,306
2015-1-28,81,62,42,49,42,37,96,60,23,30.18,30.12,30.06,10,10,10,14,4,22,0.00,0,,188
2015-1-29,79,66,52,55,49,34,100,68,35,30.39,30.22,30.12,10,10,6,16,4,25,T,2,,7
2015-1-30,58,53,48,39,36,33,63,52,40,30.46,30.37,30.28,10,10,10,14,6,23,T,5,Rain,25
2015-1-31,62,56,49,61,51,37,100,80,59,30.26,30.04,29.90,10,5,1,15,4,21,0.31,8,Rain,129
2015-2-1,73,59,44,61,54,30,100,77,53,30.27,29.98,29.88,10,8,4,17,7,28,0.02,5,Rain,308
2015-2-2,49,41,33,30,24,19,62,48,34,30.43,30.35,30.28,10,10,10,15,6,22,0.00,0,,357
2015-2-3,43,42,40,42,37,28,96,76,55,30.36,30.27,30.21,10,6,2,8,2,11,0.26,7,Rain,172
2015-2-4,55,49,42,50,45,41,100,92,83,30.21,30.13,30.03,10,5,1,8,2,13,0.06,8,Rain,199
2015-2-5,52,45,38,48,35,31,92,77,62,30.48,30.38,30.22,10,10,5,16,7,26,T,8,,344
2015-2-6,60,49,37,42,38,33,86,69,51,30.46,30.37,30.25,10,10,7,10,3,16,0.00,4,,201
2015-2-7,69,55,40,53,46,39,93,71,49,30.22,30.08,29.98,10,8,4,13,5,21,0.00,2,,185
2015-2-8,78,68,58,57,56,50,93,72,50,30.00,29.90,29.81,10,10,8,14,6,26,0.00,4,,205
2015-2-9,83,68,52,50,44,38,77,49,20,30.14,30.07,30.01,10,10,10,9,3,13,0.00,0,,332
2015-2-10,81,64,46,49,44,40,86,57,28,30.07,29.99,29.92,10,10,10,10,4,18,0.00,0,,166
2015-2-11,78,65,51,53,49,40,100,64,27,30.20,30.03,29.95,10,7,1,16,5,26,0.00,3,,128
2015-2-12,62,53,44,40,34,31,65,51,36,30.42,30.35,30.23,10,10,10,16,7,27,0.00,2,,13
2015-2-13,70,55,39,44,38,32,79,58,37,30.38,30.31,30.22,10,10,10,10,2,15,0.00,1,,187
2015-2-14,78,63,48,53,47,43,86,60,33,30.29,30.22,30.13,10,10,10,9,3,14,0.00,0,,264
2015-2-15,68,63,57,62,58,52,87,80,73,30.15,30.02,29.88,10,10,7,10,5,19,T,5,,165
2015-2-16,66,51,36,61,39,28,93,79,64,30.24,30.03,29.83,10,8,2,17,9,28,0.01,8,Rain,340
2015-2-17,55,45,34,33,27,23,82,59,35,30.34,30.25,30.17,10,10,10,13,7,22,0.00,4,,351
2015-2-18,66,49,32,34,29,25,89,56,22,30.39,30.31,30.25,10,10,10,13,4,18,0.00,0,,176
2015-2-19,70,54,38,49,40,31,85,61,37,30.38,30.25,30.08,10,10,10,14,5,28,0.00,0,,172
2015-2-20,75,65,54,60,56,49,86,72,57,30.08,29.92,29.77,10,10,9,16,9,31,0.00,7,,179
2015-2-21,78,67,55,61,56,45,87,69,50,30.02,29.88,29.80,10,10,9,14,6,25,0.00,6,,188
2015-2-22,56,47,37,52,44,33,93,80,66,30.41,30.14,29.95,10,8,2,20,7,30,0.02,8,Rain,11
2015-2-23,37,34,30,32,29,26,92,87,82,30.54,30.45,30.40,10,7,2,17,9,24,0.01,8,Rain,357
2015-2-24,37,34,30,34,29,26,92,84,76,30.41,30.24,30.02,10,8,2,9,4,15,0.00,8,,360
2015-2-25,63,49,35,36,34,28,100,64,27,30.03,29.94,29.82,10,8,3,13,3,21,0.01,5,Rain,324
2015-2-26,52,43,33,37,31,21,96,74,52,30.40,30.19,29.93,10,10,5,15,7,24,0.00,4,,19
2015-2-27,36,34,31,30,25,19,92,72,52,30.45,30.38,30.32,10,8,2,13,7,21,0.01,8,Rain,24
2015-2-28,36,34,31,34,31,26,100,93,85,30.38,30.31,30.26,10,5,2,10,5,17,0.10,8,Rain,6
2015-3-1,43,39,35,41,38,34,100,95,89,30.36,30.29,30.22,8,4,2,10,6,16,0.09,8,Rain,354
2015-3-2,45,42,38,42,40,37,100,95,89,30.38,30.28,30.18,10,5,1,10,4,15,0.02,8,Rain,360
2015-3-3,63,52,41,59,49,41,100,95,90,30.15,29.98,29.85,5,2,0,8,1,13,0.01,8,Fog-Rain,187
2015-3-4,70,52,34,67,56,32,100,95,89,30.28,29.90,29.80,10,4,0,21,6,36,0.15,8,Fog-Rain-Thunderstorm,357
2015-3-5,47,39,31,32,25,18,89,61,33,30.64,30.45,30.21,10,9,2,20,10,33,0.13,4,Rain-Thunderstorm,1
2015-3-6,57,42,26,29,23,19,81,54,27,30.66,30.56,30.49,10,10,10,8,2,13,0.00,0,,80
2015-3-7,60,49,38,37,30,24,82,56,29,30.50,30.40,30.27,10,10,10,10,2,13,T,8,,135
2015-3-8,54,51,47,51,48,37,100,69,38,30.29,30.17,30.06,10,3,1,12,3,16,0.45,8,Rain,132
2015-3-9,55,52,49,52,49,48,100,97,93,30.06,29.96,29.88,10,5,1,8,4,13,2.17,8,Rain,4
2015-3-10,63,57,50,52,50,49,96,78,60,30.15,30.04,29.96,10,10,10,9,4,14,0.00,7,,343
2015-3-11,59,57,54,51,50,49,86,79,72,30.26,30.20,30.14,10,10,10,13,6,20,0.00,8,,356
2015-3-12,73,63,52,55,52,49,96,73,49,30.19,30.10,29.99,10,10,9,13,5,18,0.02,5,Rain,357
2015-3-13,78,66,53,54,52,46,100,68,36,30.06,30.00,29.94,10,8,1,12,3,18,0.00,4,,316
2015-3-14,78,66,53,53,49,44,89,61,33,30.21,30.10,30.02,10,10,10,15,6,23,0.00,1,,350
2015-3-15,69,60,51,54,51,48,89,72,55,30.32,30.26,30.20,10,10,10,12,3,16,0.00,3,,344
2015-3-16,77,65,52,62,56,51,100,73,46,30.28,30.21,30.14,10,9,4,10,3,17,0.00,6,,187
2015-3-17,77,70,63,66,63,61,100,82,64,30.18,30.11,30.02,10,8,4,9,3,16,0.01,7,Rain,179
2015-3-18,81,71,60,65,61,58,93,74,54,30.06,29.99,29.90,10,10,8,13,4,20,0.13,4,Rain,184
2015-3-19,83,73,63,66,64,61,100,79,58,30.00,29.95,29.88,10,8,2,12,5,17,0.00,6,,175
2015-3-20,71,64,57,67,61,55,93,89,84,30.15,30.09,29.98,10,6,0,15,4,22,1.17,8,Fog-Rain,6
2015-3-21,61,58,55,58,56,54,100,95,90,30.15,30.08,30.01,10,7,2,10,4,17,0.43,8,Rain,344
2015-3-22,78,68,57,59,57,55,100,75,50,30.08,30.03,29.96,10,10,7,9,4,15,0.00,5,,309
2015-3-23,80,66,52,59,56,51,100,73,45,30.13,30.06,29.99,10,10,6,9,3,14,0.00,0,,142
2015-3-24,83,71,59,62,60,57,97,72,47,30.04,29.97,29.88,10,10,9,14,7,22,0.00,2,,182
2015-3-25,84,73,62,63,61,59,93,72,51,29.98,29.91,29.84,10,10,10,16,8,27,0.00,3,,172
2015-3-26,70,62,54,65,48,33,93,62,31,30.19,30.03,29.86,10,9,2,20,10,29,0.05,4,Rain,343
2015-3-27,82,64,46,44,36,29,71,44,16,30.20,30.15,30.08,10,10,10,13,4,19,0.00,0,,312
2015-3-28,84,66,48,49,44,40,86,54,22,30.14,30.08,30.00,10,10,10,13,5,24,0.00,0,,191
2015-3-29,84,71,57,60,56,50,93,67,40,30.11,30.06,29.99,10,10,10,17,8,28,0.00,1,,182
2015-3-30,80,72,64,64,62,60,93,76,58,30.18,30.11,30.03,10,10,9,12,5,18,0.00,6,,186
2015-3-31,82,74,66,66,62,59,93,74,54,30.09,30.00,29.91,10,10,7,13,7,20,0.00,6,,192
2015-4-1,83,76,68,67,65,61,90,71,51,29.98,29.92,29.83,10,9,4,14,7,25,T,6,Rain,179
2015-4-2,84,76,68,68,66,63,90,76,62,29.97,29.90,29.85,10,8,6,15,8,26,0.00,6,,182
2015-4-3,86,76,66,68,62,48,90,67,43,30.18,29.98,29.89,10,8,4,17,7,27,0.00,7,,190
2015-4-4,69,63,56,48,44,37,61,53,44,30.33,30.24,30.17,10,10,10,17,8,32,0.00,8,,42
