CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,44,39,34,43,38,28,96,83,70,30.44,30.28,30.19,10,5,1,18,7,21,1.77,7,Rain,43
2015-1-2,59,52,45,58,48,43,100,95,89,30.26,30.14,29.99,10,4,0,16,7,20,0.24,8,Fog-Rain,75
2015-1-3,66,60,54,63,59,53,100,94,87,30.06,29.95,29.86,10,6,0,16,8,23,1.40,7,Fog-Rain-Thunderstorm,171
2015-1-4,54,45,35,50,40,26,100,83,65,30.65,30.33,30.07,10,10,9,21,7,25,0.00,4,,314
2015-1-5,45,37,29,31,26,22,92,71,49,30.75,30.60,30.45,10,9,1,20,8,23,0.00,0,,11
2015-1-6,57,42,27,37,32,26,92,66,40,30.52,30.45,30.38,10,8,2,13,4,17,0.00,0,,358
2015-1-7,45,33,21,31,21,6,75,60,45,30.83,30.62,30.41,10,10,10,33,16,39,0.00,0,,18
2015-1-8,33,24,15,21,8,2,81,57,32,30.79,30.60,30.41,10,10,10,26,6,33,0.00,0,,50
2015-1-9,40,35,29,22,19,14,75,58,40,30.57,30.50,30.43,10,10,10,17,7,23,0.00,6,,9
2015-1-10,44,36,28,21,14,10,56,42,27,30.61,30.53,30.43,10,10,10,17,7,21,0.00,4,,40
2015-1-11,57,48,38,51,39,22,93,71,48,30.44,30.28,30.16,10,10,6,17,7,22,0.08,7,Rain,120
2015-1-12,58,49,39,57,49,37,100,93,86,30.37,30.22,30.11,10,6,0,23,10,25,0.81,8,Fog-Rain,314
2015-1-13,39,36,32,36,32,29,92,87,82,30.48,30.43,30.38,10,6,3,21,14,26,0.00,8,,7
2015-1-14,39,36,32,32,30,28,92,81,70,30.43,30.37,30.29,10,9,5,14,7,16,0.00,7,,18
2015-1-15,47,38,28,34,32,26,100,79,58,30.35,30.29,30.25,10,9,5,9,3,12,0.09,5,Rain,2
2015-1-16,56,40,23,37,28,21,92,65,38,30.39,30.31,30.24,10,6,0,7,1,9,0.00,0,Fog,170
2015-1-17,62,45,28,44,34,27,96,65,34,30.24,30.17,30.07,10,10,10,18,5,22,0.00,0,,180
2015-1-18,66,49,32,45,34,22,93,56,19,30.33,30.24,30.14,10,10,7,10,3,16,0.00,0,,303
2015-1-19,68,50,31,38,33,29,82,55,28,30.20,30.12,30.03,10,10,10,13,5,16,0.00,0,,193
2015-1-20,67,52,36,53,44,34,93,76,58,30.11,30.04,29.99,10,10,8,10,4,14,0.00,2,,345
2015-1-21,65,52,39,39,36,33,79,57,34,30.27,30.19,30.12,10,10,10,14,7,18,0.00,1,,17
2015-1-22,53,47,41,39,36,30,93,69,44,30.29,30.22,30.14,10,8,4,28,13,34,0.93,8,Rain,42
2015-1-23,42,39,36,39,37,35,93,89,85,30.14,30.07,30.00,10,7,2,25,11,32,0.25,8,Rain,348
2015-1-24,57,44,30,38,33,29,96,70,43,30.19,30.10,30.03,10,7,2,14,4,18,0.00,0,,239
2015-1-25,68,54,39,42,37,33,86,60,34,30.03,29.94,29.81,10,10,10,20,8,28,0.00,2,,257
